,B1_FULL_ADDRESS,Lat,Lon,DBA
13078,2020 KITTREDGE ST,37.868356,-122.268904,LE BIZOU CAFE
13258,2319 NINTH ST,37.863372,-122.292712,THE BACONER
13392,2334 TELEGRAPH AVE,37.868119,-122.25906,KEENWAWA INC
13665,2118 UNIVERSITY AVE,37.872207,-122.267575,BLUE BOTTLE COFFEE INC
13782,2114 SHATTUCK AVE,37.870904,-122.268262,BUONA VITA YOGURT LLC
13988,1938 SHATTUCK AVE,37.873073,-122.268549,SHARE TIME
14346,3307 SACRAMENTO ST,37.847862,-122.277672,JOSEPH ROSALIEN
14490,2160 SHATTUCK AVE,37.870112,-122.26797,SEISMIC COFFEE ROASTERS LLC
14522,3043 SAN PABLO AVE,37.850878,-122.286202,THE DELI AND GRILL
14706,2505 HEARST AVE G,37.875072,-122.260226,QUICKLY
14819,1250 ADDISON ST 109,37.868792,-122.286984,JOHNNY B'S CAFE
15209,2110 SHATTUCK AVE,37.870979,-122.268269,SUSHI SECRETS
328,1911 FOURTH ST 101,37.8683672,-122.299954,PROJECT JUICE
6106,3140 M L KING JR WAY,37.8510048,-122.271004,RASA-CAFFE LLC
297,3201 COLLEGE AVE,37.851092,-122.252454,MITAMA
437,2936 COLLEGE AVE,37.857596,-122.253106,LA MEDITERRANE'E III INC
553,2517 DURANT AVE D,37.8679,-122.258302,CHANG LUONG RESTAURANT
673,2134 OXFORD ST,37.870417,-122.265937,JIGAR BAR
725,2995 COLLEGE AVE,37.856239,-122.252969,KING YEN RESTAURANT INC
875,2146 CENTER ST,37.870498,-122.266662,CAFE RIO
881,1715 SOLANO AVE,37.891206,-122.282283,VANESSA'S BISTRO
1201,1200 SAN PABLO AVE,37.882067,-122.296392,CHURCHES FRIED CHICKEN #184
1220,2700 BANCROFT WAY 1,37.869312,-122.254314,FREEHOUSE
1320,2417 SHATTUCK AVE,37.865459,-122.26747,WIKIWIKI HAWAIIAN BBQ
1643,3101 SHATTUCK AVE,37.852961,-122.266195,STARRY PLOUGH RESTAURANT
1666,2513 DURANT AVE,37.867875,-122.25851,I B'S HOAGIES
1734,1054 UNIVERSITY AVE,37.868848,-122.293154,CHEESE STEAK SHOP THE
2012,1841 EUCLID AVE,37.875541,-122.260233,CELIA'S MEXICAN RESTAURANT
2140,3136 SACRAMENTO ST,37.850626,-122.278453,MOXY
2237,1799 FOURTH ST A-F,37.870449,-122.300799,CAFE M
2257,2109 CEDAR ST FRONT,37.878492,-122.268501,GREGOIRE
2340,2439 DURANT AVE,37.867745,-122.259528,KIPS RESTAURANT
2676,2984 COLLEGE AVE,37.856431,-122.252989,HOUSE OF CURRY INC
3170,1936 SHATTUCK AVE,37.873227,-122.268562,THAI NOODLE
3494,1700 SHATTUCK AVE 102,37.876307,-122.268923,TASTE OF THE HIMALAYAS
3503,2134 ALLSTON WAY,37.86955,-122.266812,CANCUN TAQUERIA INC
3545,2519 DURANT AVE,37.867935,-122.258021,GYPSY'S TRATTORIA ITALIANO
3814,2511 CHANNING WAY,37.866984,-122.258306,BERKELEY THAI HOUSE
3861,2548 BANCROFT WAY,37.868864,-122.257986,INDIAN FLAVOR EXPRESS
3996,2012 SHATTUCK AVE,37.87199,-122.268396,K.P. DELI LLC
3997,2045 SHATTUCK AVE,37.871683,-122.268364,SAIGON EXPRESS
4013,1328 SIXTH ST,37.878319,-122.301006,PICANTE COCINA MEXICANA
4108,3045 SHATTUCK AVE A,37.853671,-122.266293,CAFE LA RENAISSANCE
4137,1832 EUCLID AVE,37.875831,-122.260292,LA BURRITA
4154,1539 SOLANO AVE,37.890984,-122.286311,RIVOLI RESTAURANT INC
4200,2520 DURANT AVE,37.867947,-122.257925,HOUSE OF CURRIES #2
4365,2914 COLLEGE AVE,37.858092,-122.253153,SHEN HUA
4958,1599 SOLANO AVE,37.891082,-122.284579,KYOTO
4974,2505 HEARST AVE,37.875072,-122.260226,AKI RESTAURANT
5124,3115 TELEGRAPH AVE,37.853209,-122.260044,SMOKE HOUSE
5445,1181 UNIVERSITY AVE,37.869414,-122.290121,EAT @ THAI
5484,235 UNIVERSITY AVE,37.865611,-122.308575,HANA JAPAN STEAKHOUSE
5584,2521 DURANT AVE,37.867947,-122.257926,VIETNAM VILLAGE
5749,2488 CHANNING WAY,37.8669,-122.258955,CHINESE EXPRESS
5786,2507 HEARST AVE B,37.875084,-122.26014,T C GARDEN
6014,2100 WARD ST,37.85948,-122.266689,KIRALA RESTAURANT
6058,2017 UNIVERSITY AVE,37.871958,-122.270171,RED TOMATO PIZZA HOUSE
6191,1734 SOLANO AVE,37.891231,-122.281865,SWEET BASIL THAI CUISINE
6260,1820 FOURTH ST,37.869718,-122.300561,TTZ LLC
6286,2026 UNIVERSITY AVE,37.871914,-122.269836,JAYAKARTA RESTAURANT
6428,3204 COLLEGE AVE,37.851091,-122.252454,EXTREME PIZZA
6579,2600 SAN PABLO AVE,37.85922,-122.289035,MISSOURI LOUNGE/CAFE
6862,1598 UNIVERSITY AVE,37.870595,-122.280025,NORTH BEACH PIZZA
6883,1788 FOURTH ST,37.870266,-122.300741,TACUBAYA LLC
6960,1800 UNIVERSITY AVE,37.871246,-122.274991,POWERS NATIONS GIANT HAMBURGER
7065,941 CARLETON ST,37.857453,-122.291032,JUANS PLACE
7093,2501 SAN PABLO AVE,37.860897,-122.289417,PHO VIETNAMESE RESTAURANT
7250,2152 CENTER ST,37.870519,-122.266503,C U JAPANESE FUSION
7325,2449 SACRAMENTO ST,37.862398,-122.281055,MEHAK INDIAN CUISINE
7436,100 SEAWALL DR,37.863611,-122.317566,SKATES ON THE BAY
7560,1897 SOLANO AVE,37.891461,-122.277146,JERUSALEM ORGANIC KITCHEN
7561,1585 UNIVERSITY AVE,37.870706,-122.28009,HIMALAYAN FLAVORS
7567,2511 DURANT AVE,37.867844,-122.258762,DIYAR MEDITERRANIAN CUISINE
8075,2311 TELEGRAPH AVE,37.868364,-122.259113,CHIPOTLE MEXICAN GRILL #697
8147,1818 ALCATRAZ AVE,37.848856,-122.270551,CHEN'S GARDEN
8160,2900 COLLEGE AVE,37.858356,-122.253179,ELMWOOD CAFE
8237,2554 BANCROFT WAY,37.868875,-122.257891,TIVOLI CAFFE LLC
8383,1591 SOLANO AVE,37.89107,-122.284795,BARNEYS SOLANO INC
8527,1100 EASTSHORE HWY,37.885683,-122.308114,KAN'S CAFE-STABLE
8550,2024 SHATTUCK AVE,37.871524,-122.268345,PHIL'S SLIDERS
8559,1586 HOPKINS ST,37.881953,-122.281397,GIOIA PIZZERIA
8927,2448 SACRAMENTO ST,37.862293,-122.281218,BREADS OF INDIA & GOURMET CURR
9104,1600 SHATTUCK AVE,37.878112,-122.269114,"BARNEY'S SHATTUCK, INC"
9177,2503 HEARST AVE,37.87506,-122.260313,"TOP DOG TM, LLC"
9358,1843 SOLANO AVE,37.89139,-122.278864,"MASA, INC."
9543,1849 SHATTUCK AVE,37.87418,-122.268562,LIAISON BISTRO
9568,2521 DURANT AVE,37.867947,-122.257926,STEVES BARBEQUE
9582,2160 CENTER ST,37.870541,-122.266338,TOP DOG #5 LLC
9664,1025 UNIVERSITY AVE,37.868944,-122.29318,KABANA RESTAURANT
9670,2112 CHANNING WAY,37.865851,-122.267045,CAFE ROMANCE
9962,2265 FIFTH ST,37.8636,-122.297484,"TOMATE CAFE, INC"
10027,1050 GILMAN ST,37.880333,-122.296539,CHIPOTLE MEXICAN GRILL #231
10041,1695 SOLANO AVE,37.89118,-122.282775,AKEMI JAPANESE RESTAURANT
10051,2377 SHATTUCK AVE,37.866195,-122.267556,LA NOTE RESTAURANT INC
10090,933 ASHBY AVE,37.851567,-122.289592,SPOON
10161,2922 DOMINGO AVE,37.858677,-122.243937,"RICK & ANN'S RESTAURANT, INC"
10175,1700 SHATTUCK AVE,37.876307,-122.268923,THAI DELIGHT CUISINE
10230,1923 UNIVERSITY AVE,37.871686,-122.272352,PLEARN THAI RESTAURANT
10248,2556 TELEGRAPH AVE,37.863888,-122.258655,FONDUE FRED
10396,2390 FOURTH ST B,37.861529,-122.297964,VIK'S CHAAT CORNER LLC
10487,2128 CENTER ST,37.870414,-122.267298,IPPUKU
10541,1854 EUCLID AVE,37.875666,-122.260259,NEFELI
10617,1453 DWIGHT WAY,37.862076,-122.281982,MIM THAI CUISINE
10814,1647 SOLANO AVE,37.891147,-122.283407,SUSHI 29 LLC
10909,2505 BONGO DWIGHT WAY,37.865154,-122.258152,BONGO BURGER INC
10990,1776 SHATTUCK AVE,37.875237,-122.268808,PARTY SUSHI
11004,2556 TELEGRAPH AVE,37.863888,-122.258655,NORIKONOKO JAPANESE RESTAURANT
11272,1722 UNIVERSITY AVE,37.870997,-122.276942,EDOKO JAPANESE RESTAURANT
11290,1890 SHATTUCK AVE,37.874025,-122.268666,OSCARS
11404,2020 UNIVERSITY AVE,37.871891,-122.270018,CAFE TIBET
11412,2086 ALLSTON WAY,37.869306,-122.268489,FIVE
11506,1515 SHATTUCK AVE,37.879643,-122.269165,CESAR
11536,2175 ALLSTON WAY,37.86961,-122.266328,SATURN CAFE
11675,1892 SOLANO AVE,37.891472,-122.277432,BANGKOK JAM
11744,3221 ADELINE ST,37.849938,-122.270883,THE FAT FISH
11845,3250 ADELINE ST,37.849416,-122.271253,THE VAULT CAFE
11908,1581 UNIVERSITY AVE,37.870631,-122.280653,THREE STONE HEARTH
12002,2367 TELEGRAPH AVE,37.867524,-122.258935,PAPPY'S GRILL LLC
12044,2433 SHATTUCK AVE,37.865013,-122.267416,ANZU
12073,1407 SAN PABLO AVE A,37.87836,-122.295063,STELLA NONNA
12151,2072 SAN PABLO AVE,37.868208,-122.291934,PRIYA SO & NO INDIAN CUISINE
12428,2985 COLLEGE AVE,37.856469,-122.252992,MASA INC
12454,1761 ALCATRAZ AVE,37.848646,-122.272161,EASY CREOLE
12601,2519 DURANT AVE C,37.867935,-122.258021,CAL GYROS
12649,2114 VINE ST,37.880307,-122.26872,JUICE BAR COLLECTIVE
12705,2534 DURANT AVE,37.868011,-122.257429,TOP DOG TM LLC
12719,125 BERKELEY SQ,37.870979,-122.267722,LITTLE HUNAN
12730,2327 SHATTUCK AVE,37.867064,-122.267656,VENUS RESTAURANT
